tcode,description,module
0VX2,Selection variants - Customs decl JP,
1KE1,EC-PCA: Analyze Settings,
1KE4,EC-PCA: Customizing monitor,
1KE6,EC-PCA: Maintain Matchcode,
1KED,Transfer Statistical Key Figures,
1KEE,EC-PCA: Plan Statistical Key Figures,
1KEF,EC-PCA: Parameter acutal postings,
2KEM,EC-PCA: Account Valuation Variances,
2KET,EC-PCA: Allow Balance Carryforward,
2KEU,Copy Cost Center Hierarchy,
2KEV,Copy cost centers,
3KEG,EC-PCA: Transfer Stat. Key Figures,
3KEH,EC-PCA:Addit. Bal. Sheet/P+L Accounts,
3KEI,Derive Default Profit Center,
3KEJ,Activate representative materials,
3KEK,Choose representative materials,
3KEL,Account determination for prod.variance,
5NZI,Number range maintenance: RP_IRCERT,
6KEA,Profit Center: Display Changes,
7KEA,Create Planning Layout for Costs/Rev,
7KEB,Change Planning Layout for Costs/Rev,
7KEC,Display Planning Layout for Cost/Rev,
7KEF,Create Planning Layout for Inventory,
7KEG,Change Planning Layout for Inventory,
7KEH,Display Planning Lyt for Inventory,
7KEI,Transport Planning Layouts,
7KEJ,Import Planning Layouts,
7KEK,Create Stat. KF Planning Layout,
7KEL,Change Stat. KF Planning Layout,
7KEM,Display Stat. KF Planning Layout,
7KEQ,EC-PCA: Reorganize Long Texts,
8KAL,Controlling Areas: ALE for PCA,
8KE1,PCA: Rollup: Create Field Assignment,
8KE2,PCA: Rollup: Change Field Assignment,
8KE3,PCA: Rollup: Display Field Assignmnt,
8KE6,PCA: Delete Rollup Field Assignment,
8KEA,Create Cond. Table (Price/Prof. Ctr),
8KEG,Create Condition List,
8KEG_02,Change Pricing Report,
8KEG_03,Display Pricing Report,
8KEG_16,Execute Pricing Report,
8KEM,Currency and Valuation Profiles,
8KEN,Account Det. for Charg. Off Val. Diff.,
8KEO,Assign Representative Material,
8KEP,Activate Cur.+Val. Profile in COArea,
8KEQ,Assign Cur. + Val. Profile to COArea,
8KER,Derive Partner Profit Center: Sales,
8KES,Derive Partner Profit Center: Purch.,
8KET,Derive Costing Key,
8KEU,Deactivate C&V Profile in CO Area,
8KEV,CO-PA Pricing,
8KEZ,EC-PCA Transfer Pricing,
9KE9,Display Profit Center Document,
9KEI,Transport Layout,
9KEJ,Import Layout,
9KEK,Create Layout for Entering ActStatKF,
9KEL,Change Layout for Entering ActStatKF,
9KEM,Display Layout for Entering AcStatKF,
9KES,Create Layout for Actual Doc. Entry,
9KET,Change Layout for Actual Doc. Entry,
9KEU,Display Layout for Actual Doc. Entry,
AACCOBJ,Display Active Account Assgnmt Elements,
AB02,Change asset document,
AB08,Reverse Line Items,
ABAA,Unplanned depreciation,
ABAON,Asset Sale Without Customer,
ABAVN,Asset Retirement by Scrapping,
ABCO,Adjustment Posting to Areas,
ABMA,Manual depreciation,
ABSO,Miscellaneous Transactions,
ABST2,Reconciliation Analysis FI-AA,
ABT1N,Intercompany Asset Transfer,
ABUMN,Transfer within Company Code,
ABZON,Acquis. w/Autom. Offsetting Entry,
ABZU,Write-up,
AC01,Create Service Master,
AC02,Chang Service Master,
AC03,Change Service Master,
AC04,Service Master,
ACACADCONT01,Accrl Account Detmn: Mntn Entry Area 01,
ACACADCONT02,Account Determntn: Mntn Entries Area 02,
ACACADMETA01,Account Determntn: Define Rule Area 01,
ACACADMETA02,Account Determntn: Define Rule Area 02,
ACACADMETASGL,Act Dtmn: Define Simple Set of Rules,
ACACARCHPREP,Preparation of the Archiving Run,
ACAC_ACEPS_APPLLOG,Number Range Maintenance: ACEAPPLLOG,
ACAC_NUMOBJ,Number Range Maintenance: ACAC_OBJ,
ACCMAP,Convert Depreciation Areas,
ACEACM,Accrual Methods,
ACEARCHPREP,Preparation of the Archiving Run,
ACECOMP,Components Setup,
ACEDATADEL,Deletion of Data in the Accrl Engine,
ACEPSADCONT01,Account Determntn: Maintn Entry Step 01,
ACEPSADCONT02,Account Determntn: Maintn Entry Step 02,
ACEPSADMETA01,Account Determntn: Define Rule Step 01,
ACEPSADMETA02,Account Determntn: Define Rule Step 02,
ACEPSADMETASGL,Account Detrmn: Define Single-Step Rule,
ACEPS_ACEDOCNR,Number Range Maintenance: ACEPSDOCNR,
ACEPS_APPLLOG,Number Range Maintenance: ACEAPPLLOG,
ACEPS_AWREF,Number Range Maintenance: ACE,
ACEPS_RUNID,Number Range Maint: ACE Posting Run,
ACF_WHITELIST_SETUP,Install ACF Security List,
ACNR,No. Range Maintenance: Ext. Service,
ACSET,Maint.Account Types for Account Asgmt Obj.,
AD20,Search help maintenance (for IMG),
ADCPL3,Maintain CMC Settings,
ADCPL5,Maintain Inventory Group Customizing,
ADCPL7,Maintain CMC Profile,
ADCPL9,Maintain CMC User Status Setup,
ADSPCIP_EXCELMAP,SPEC2000: Settings to RSPL File,
AFAB,Post depreciation,
AFAMA,View Maint. for Deprec. Key Method,
AFAMD,View Maint. Declining-Bal. Method,
AFAMP,View Maint. Period Control Method,
AFAMS,View Maint. Multi-Level Method,
AFAM_093B,View Default Values for Valuation,
AFAM_093C,Company Code Default Values,
AFAR,Recalculate Depreciation,
AFBP,Create depreciation posting log,
AFO_FOI_DER_DERIVA,FO Integration.: Derivation - Derivatives,
AFO_FOI_DER_EXP,FO Integration: Derive – Operational Expos,
AFO_FOI_DER_FX,FO Integrationration: Derivation - Forex,
AFO_FOI_DER_LOAN,FO Integrationration: Derivation - Loans,
AFO_FOI_DER_MONEY,FO Integration.: Derivation - Money Market,
AFO_FOI_DER_POS1,FO Int.: Deriv. - Class Pos. in SA,
AFO_FOI_DER_POS2,FO Int.: Deriv. - Class Pos. in FA,
AFO_FOI_DER_ST,FO Integration: Derive - Security Trans,
AFWA,Create Maintain Analysis Structures,
AFWBM,Edit Master Data for Benchmark,
AFWBMPH,Assign Benchmark to PH Nodes,
AFWFL,AFWCH: Filter Maintenance,
AFWKF_MD,Master Data Reporting for RDB,
AFWKF_PA,Key Figures and Eval. Procedures,
AFWKF_RA,Key Figures and Eval. Procedures,
AFWS,Maintain Segment Level Characterist.,
AFW_ACT1,Anal. Struct.: Activ.Sample Settings,
AFW_ACT2,Anal. Struct: Activate Customizing,
AFX_ACT_SNUM,Number Range Maint.: AFX_ACT Object,
AFX_CUST_CHECK,Check: Archiving Customizing,
AIAB,AuC Assignment of Dist. Rule,
AIBU,Transfer Asset under Const.,
AIST,Reverse Settlement of AuC,
AJAB,Year-End Closing,
AJRW,Fiscal Year Change,
AKOF,C FI Maintain Table TAKOF,
AL11,Display SAP Directories,
ALM_01,ALM: Assign CF Type to CF Indicator,
ALRTCATDEF,Editing Alert Categories,
AM05,Lock Asset Class,
ANA_STRUCT_GEN_ALM,OLTP Metadata Repository,
ANHAL,Maintain Cutoff Value Key,
ANK0,Ch.-of-Depr.-Dep. Asset Class Data,
ANK1,Ch.-of-Depr.-Dep. Control Specif.,
ANK2,Ch.-of-Depr.-Dep. Allocations,
ANK3,Ch.-of-Depr.-Dep. Net Worth Valuat.,
ANK4,Ch.-of-Depr.-Dep. Insurance Data,
ANKA,Directory of asset classes,
ANKL,Generate Asset Classes,
ANSICHT,Maintain Asset Views,
ANVEST,Maintain Investment Support Measures,
AO11,Assign number range,
AO21,Screen layout for deprec. areas,
AO25,Unit-of-prod. depreciation,
AO31,Specify Depreciation Area,
AO32,Assign net worth tax area,
AO33,Net worth tax field selection,
AO41,Add to insurance specifications,
AO42,Insurance field selection,
AO51,Leasing field selection,
AO52,Add to leasing entries,
AO67,Define Transaction Type,
AO68,Define Transaction Type,
AO69,Account assignmt. KTNAIB,
AO71,Document type for posting deprec.,
AO72,Specify posting procedure,
AO73,Define Transaction Type,
AO74,Define Transaction Type,
AO75,Define Transaction Type,
AO76,Define Transaction Type,
AO77,Define Transaction Type,
AO78,Define Transaction Type,
AO79,Define Transaction Type,
AO80,Define Transaction Type,
AO81,Define Transaction Type,
AO82,Define Transaction Type,
AO83,Define Transaction Type,
AO84,Define Transaction Type,
AO85,Account assignmt Acquisitions,
AO86,Account assingmt. Retirements,
AO87,Account. Assignmt Revaluation on APC,
AO88,Account.Assignmt for Investment Support,
AO89,Account.assmt. not to curr ac.as.share,
AO90,Account assignmt Acquisitions,
AO93,Ord. Depreciation Account Assignment,
AO94,Special Depreciation Account Assignment,
AO95,Account. assgnmt. Unplanned deprec.,
AO96,Account. assgnmt. Transfer of reserves,
AO97,Account. assgnmt. Reval. of deprec.,
AO98,Account. assignment Interest,
AO99,Account. assgnmt. Derived dep. areas,
AOBK,Depreciation areas/Reduction rules,
AOCO,Cost center check (across co.codes),
AOLA,Master Data Tab,
AOLK,Tab Layout for Asset Master Data,
APER_RESET,Reset Periodic Posting Run,
AR01,Call Asset List,
AR30,Display Worklist,
AR31,Edit Worklist,
ARQ0,FIAA - Ad hoc reports,
AR_FACTORY,Archiving Factory,
AS01,Create Asset Master Record,
AS02,Change Asset Master Record,
AS03,Display Asset Master Record,
AS05,Block Asset Master Record,
AS06,Delete Asset Record/Mark for Delet.,
AS08,Number Ranges:Asset Number,
AS100,Legacy Data Transfer using Excel,
AS11,Create Asset Subnumber,
AS81,Create Old Group Assets Data,
AS82,Change old group asset,
AS83,Display old group asset,
AS84,Create legacy group asset subnumber,
AS91,Create Old Asset,
AS92,Change Old Asset,
AS93,Display Old Asset,
AS94,Create Legacy Asset Subnumber,
ASACT,Activate Application Stat. Types,
ASKB,Periodic Asset Postings,
AUFW,Maintain Revaluation Measures,
AUT01,Configuration of Logging,
AUT04,Configuration of Long Text Logs,
AUT10,Evaluation of Audit Trail,
AUTH_SWITCH_OBJECTS,Switch on/off authorizations,
AUVA,FI-AA Incomplete Assets,
AW01N,Asset Explorer,
BA01,Table T005BU,
BA10,Subsystem Configuration,
BA11,Config. Transceiver / Upload Files,
BASIS_CL02,Call CL02 (if it exists),
BASIS_O1CL,Call O1CL (if it exists),
BAUP,Bank Data Transfer,
BC15,No. Range Maint.: BP_PARTNR Partner,
BC72,Business Partner: Notes (Role),
BC73,Business Partner: Notes (general),
BCA_CONDIND_REL01,Customizing Release Procedure,
BCA_CONDSTD_REL01,Customizing Release Procedure,
BCG1,Bar chart: Maintain form definition,
BCG2,Bar chart: Maintain graphic profile,
BCG3,Bar chart: Maintain form assignment,
BCG4,Bar chart: Maintain option profile,
BCG5,Bar chart: Maintain color assignment,
BCG7,Bar chart: Call model graphic,
BCG8,Bar chart: Maintain graphic element,
BCG9,Bar chart: Maintain chart,
BD10,Send Material,
BD20,IDoc passed to application,
BD84,Post IDocs after ALE error,
BD87,Status Monitor for ALE Messages,
BDLSC,Objects for Special Treatment,
BDXQ,IMG Display of Distribution Groups,
BERE,Business Event Repository,
BERPC,Business Processes,
BF11,BTE Evaluation Criteria,
BF12,Partners,
BF22,Business Framework: Partner Products,
BF23,Activate Partner Products,
BF24,Customer Products,
BF31,Application modules per Event,
BF32,Partner Modules per Event,
BF34,Customer Modules per Event,
BF41,Application Modules per Process,
BF42,Partner Modules per Process,
BF44,Customer Modules per Process,
BG00,Number Range Maintenance: BGMK_NR,
BIC,Transfer Bank Data from BIC Database,
BMA1,Maintain Prop./Prod. Units,
BMA2,Percentage proportion calculation,
BMA3,Prop./prod. quant. from base quant.,
BMA4,Base quant. from prop./prod. quant.,
BMBC,Batch Information Cockpit,
BMC1,Create Class (Class Type 'BATCH'),
BMC2,Change Class (Class type 'BATCH'),
BMC3,Display Class (Class Type 'BATCH'),
BMSM,Update the standard features,
BNK_APP,Approve Payments,
BNK_BNK_COM_REL01,Assign Release Object to Release Pro,
BNK_INCMNG_MSG_MONI,Incoming status message monitor,
BNK_MERGE_RESET,Reset a Payment Media Batch run,
BNK_MONI,Batch and payment monitor,
BNK_MONIP,Payment status (batching),
BP,Maintain Business Partner,
BPCD,Business Partner: Change Documents,
BPMDCS,Master Data Tab,
BPMDFI,Customer Company Code Master Data,
BPMDGD,Master Data Tab,
BPMDSD,Customer Company Code Master Data,
BRFACS02,BRF: Change Abstract Action,
BRFEVT02,BRF: Change Event,
BRFEXP02,BRF: Change Expression,
BRFRLS02,BRF: Change Rule Set,
BRFRUL02,BRF: Change Rule for Event,
BS02,Maintain status profiles,
BS33,Display processes,
BS42,Maintain Status Selection Profiles,
BS52,Maintain authorization key,
BSVZ,System/User Status Events,
BUB9,BuPR: No. range maintenance: BP rel.,
BUBP,BuPR: Field Grping Using Rel. Cat.,
BUBQ,BuPR: Field Grp. Using Role Def.Cat.,
BUCF,BP Cust: Number Ranges,
BUCH,BP Cust: Field Grouping Activity,
BUCN,BP Cust: Field Grps f. Authorization,
BUCO,BP-Cust: Screen Configuration,
BUPA_CALL_FU,FM Activation for BP Data Exchange,
BUPA_TAXNUMTYPE,Maintain Relevant Tax No. Categories,
BW01,FI-SL Extraktstruktur generieren,
BW03,DataSource/Ledger zuordnen,
BW07,BW20PI: Gen. SET Hierarchies for BW,
BW09,BW20PI: Product Hierarchy for SAP BW,
BW10,BW20PI: Log. Gen. Hierarchy for BW,
BWFS_PROT,BW Extraction Log,
BWFS_TIMESTAMPS_DELA,Deletes Time Stamp Per InfoSource,
BWOM02,BCT-CO: Displ/Check Report Row Hier.,
BWST,Gener. DataSource for BW Status Obj.,
C201,Create Master Recipe,PP-PI
C202,Change Master Recipe,PP-PI
C203,Display Master Recipe,PP-PI
C223,Maintain Production Versions,PP-PI
C223_D,Display Production Version,PP-PI
C251,Print Master Recipes,PP-PI
C260,Recipe Development on Time Basis,PP-PI
C261,Change Document Display Master Rec.,PP-PI
C298,Delete Master Recipes,PP-PI
C299,Archive Master Recipes,PP-PI
C2N2,Number ranges master recipe,PP-PI
CA10,Std. Text for Task List/Order,PP-PI
CA81,Master recipe usage and resources,PP-PI
CA85,Replace Work Center in Task Lists,PP-PI
CA86,Master recipe: replace resources,PP-PI
CA96,Update material master,PP-PI
CA97,Mass scheduling using mat. master,PP-PI
CAA0,Process instr. usage in recipes,PP-PI
CAC2,Time Sheet: Field Selection,PP-PI
CAC7,Number Range Maintenance: CATS,PP-PI
CAC8,Number Range Maintenance: CATS_INTRN,
CACH,BP Cust: Field Grouping Activity,
CACS,Commission System: Main Menu,
CANM,Number range maintenance: ROUTING_M,
CANR,Number range maintenance: ROUTING_R,
CASN,FI-CA Cust: Field Groups for Auth.,
CATS_APPR,Approve Working Times (Poweruser),
CB23,Download of Master Tables for CC5,
CB25,Upload Request CC5,
CB32,Initial Download of Orders via CC3,
CB33,Download of Master Tables via CC3,
CB34,Delta Download of Orders via CC3,
CB35,Upload request for CC3,
CB37,Initial Download of Activities CC4,
CB38,Master data download CC4,
CB39,Delta download of activities CC4,
CB40,Upload request for CC4,
CB42,Initial Download of Orders via CC2,
CB43,Transfer of master data via CC2,
CB44,Delta Download of Orders via CC2,
CB45,Upload request for CC2,
CB85,Maint. Print Control for Proc. Ords,
CBCMOD,Maintain SCP model,
CBGL_CS01,EHS: Transfer GLM Printers,
CBGL_CS02,EHS: Adopt SAP Spool Printer,
CBGL_GLMRECN,EHS: No. Range Maintenance GLM_RECN,
CBIH50,EHS: Information on Permitted Status,
CBIHB0,EHS: Incident/Accident Log No. Range,
CBIHB1,EHS: Accident Report Number Range,
CBIHB2,EHS: Injury/Illn. Log Number Range,
CBIHB3,EHS: Work Area Number Range,
CBIHB4,EHS: Number Rnge Spec. Questionnaire,
CBIHB5,EHS: Number Range Measurement Proj.,
CBIHB6,EHS: Number Range Measurement,
CBPV,Uploading PDC messages,
CC01,Create Change Master,
CC02,Change Change Master,
CC03,Display Change Master,
CC04,Display Product Structure,
CC05,Change overview,
CC06,Flip trace protocoll for user,
CC07,Engineering Change Mgmt information,
CC13,Display Material Revision Level,
CC22,Change Object Management Records,
CC60,Browser hierarchy,
CCF1,Create Message: Error Management,
CCF2,Change Message: Error Management,
CCF3,Display Message: Error Management,
CCTM,Maintain Standard Variant,
CCUNDO,Undo Changes,
CCV2,Change Output: Document Management,
CCZU,Allocation: Material to Valid.Prof.,
CEP_CUST_WF,Maintain Distibution Workflows,
CES1,Create Set (Resource Planning),
CES2,Change Set (Resource Planning),
CES3,Display Set (Resource Planning),
CES4,Delete Set (Resource Planning),
CEV1,Create value variable(res. planning),
CEV2,Change value variable (res.planning),
CEV3,Display value variable(res.planning),
CEV4,Delete value variable (res.planning),
CFC4,Maintenance of Object Infos,
CFC8,Number Range Parallelization,
CFC9,Target-System-Ind. Settings in CIF,
CFDS,Customizing - MRP based DS(APO),
CFM1,Create Integrationration Model,
CFM2,Manually Activate Integrationration Models,
CFM4,Display Integrationration Models,
CFM5,Integrationration Model Object Search,
CFMALMART,Maintain ALM Valuation Type,
CFMEVAL,Maintain Evaluation Type,
CFO3,Scheduling Parameters in APO CIF,
CFSRMPO,SRM PO Transfer Customizing,
CG12,Edit Phrases,
CG13,Display Phrases,
CG1B,Edit Phrase Sets,
CG36,Import Reports,
CG36VEN,Import Single Report,
CG3Y,Download file,
CG3Z,Upload file,
CG50,Edit Report,
CG54,Report Information System,
CG57,Assign Report Versions,
CG5Z,EHS: WWI server monitor,
CGAB,EHS: Edit Phrase Set-Attrib. Assgmt,
CGB1,EHS: Number Range for Spec. Key,
CGB2,EHS: No. rng. maintenance record no.,
CGB3,EHS: Number range record counter,
CGB4,EHS: Number range phrase key,
CGB7,"EHS: Char,Class,PropTree,ClientCopy",
CGBB,EHS: Initial generation of phr. sets,
CGBC,EHS: Load XLS Macro Spec Info System,
CGCL2,Dangerous Goods Workbench,
CGCNIMPEXP,EHS:No.Range Maintenance Imp./Export,
CGCNOHORD,EHS: Number Range ESN_OHORD,
CGCNRCNGRP,EHS: No. Range Maint. Group Admin.,
CGCNSESSID,EHS: No. Range Maint. Session ID,
CGCNWWIACL,EHS: Number Range ESN_WWIACL,
CGCNWWIDOC,EHS: Number Range ESN_WWIDOC,
CGCNWWIORD,EHS: Number Range ESN_WWIORD,
CGVAI02,EHS: Initial Filling TCG11_VAI,
CHKPT,Call Up Checkpoint Maintenance View,
CI12,Deviation Record.-Selection Variants,
CI21,Communication parameters for KANBAN,
CI31,Communication parameters for PM,
CI36,Communication parameters for PS,
CI41,Communication parameters for PP,
CIB2,Update CC2 PDC messages,
CIB3,Update CC3 PDC messages,
CIB4,Update CC4 PDC messages,
CIB5,Update CC5 PDC messages,
CICAB,Callback Queue Assignment,
CICAL,CIC Compoent Variants,
CICAM,Assignment of Visible Components,
CICC,Maintain CIC Framework ID,
CICE,Assignment of Visible Components,
CICN,Customizing Toolbar Maintenance,
CICO,CIC Profile Definition,
CICP,Contact Search Configuration,
CICQ,Assign Hidden Components to Framewrk,
CICX,Component Container Maintenance,
CIFPUCUST01,CIF Source of Supply Determination,
CIFPUCUST02,CIF External Procurement Orders,
CJ02,Change Work Breakdown Structure,
CJ81,Update Report List,
CJ8V,Period Close for Project Selection,
CJBBS1,Planning Board Report Assignment,
CJBBS2,Structure Overview Report Asst,
CJBN,Reconstruct Availability Control,
CJE1,Create Hierarchy Report,
CJE2,Change Hierarchy Report,
CJE3,Display Hierarchy Report,
CJE4,Create Project Report Layout,
CJE5,Change Project Report Layout,
CJE6,Display Project Report Layout,
CJEB,"Background Processing, Hier.Reports",
CJEC,Maintain Project Crcy Trans.Type,
CJEK,Copy Interfaces/Reports,
CJEN,Reconstruct: Summarized Proj.Data,
CJEO,Transport Reports,
CJEQ,Import Reports from Client,
CJET,Translation Tool - Drilldown,
CJEV,Maintain Global Variable,
CJEX,Reorganize Drilldown Reports,
CJEY,Reorganize Report Data,
CJEZ,Reorganize Forms,
CJSB,Select Key Figure and Characteristic,
CJVC,Value Category Checking Program,
CJW1,EURO: Adjust Project Budget,
CK11N,Create Material Cost Estimate,
CK13,Display Product Cost Estimate,
CK13N,Display Material Cost Estimate,
CK24,Price Update with Cost Estimate,
CK33,Comparison of Itemizations,
CK40N,Edit Costing Run,
CK44,Delete Costing Run,
CK74N,Create Additive Costs,
CK75N,Change Additive Costs,
CK76N,Display Additive Costs,
CK80_99,Material: Cost Components,
CK84_99,Material: Itemization,
CK84_99_COST_ELEMENT,Cost Elements,
CK86_99,Material: Multilevel BOM,
CK88_99,Material: Partner Cost Comp. Split,
CK91N,Edit Procurement Alternatives,
CK92,Change Procurement Alternatives,
CK94,Change Mixing Ratio,
CK95,Display Mixing Ratios,
CKAPP01,Materials To Be Costed,
CKC1,Check Costing Variant,
CKM3,Material Price Analysis,
CKM3N,Material Price Analysis,
CKM9,Show Customizing Settings for Plant,
CKMACD,Value Flow Display f. Activity Types,
CKMATSEL,Selection List,
CKMB,Display Material Ledger Document,
CKMB_RUN,Create Basic List for Costing Run,
CKMCCC,Manual Change: Act. Cost Comp. Split,
CKMCCD,ManChang: Display Actual CC Split,
CKMC_RUN,Set Costing Sequence,
CKMDUVACT,Distribution of Activity Differences,
CKMDUVMAT,Distribution of Inventory Diffs,
CKMDUVREC,Enter Activity Differences,
CKMDUVSHOW,Display Inventory and Activity Diff.,
CKMF,Allow Price Determination,
CKMG,Allow Closing Entries,
CKMH,Single-Level Price Determination,
CKMHELP,HelpDesk,
CKMH_RUN,Single-Level Price Det.for Costg Run,
CKMI,Post Closing,
CKMI_RUN,Post Closing for Costing Run,
CKMJ,Display Organizational Measures,
CKMLCP,Cockpit Actual Costing,
CKMLCPAVR,Alternative Valuation Run Cockpit,
CKMLCPW,Actual Costing for Reporting Periods,
CKMLMV_CA,Edit Controlling Level,
CKMLQS,Valuated Quantity Structure(M-level),
CKMLSTATUS,Materials by Period Status,
CKML_PRICES_SEND,Send Material Prices,
CKMM,Change Price Determination,
CKMM_RUN,Multilevel Pr. Deter. for Cstg Run,
CKMPCD,Display Price Change Document,
CKMPCSEARCH,Price Change Documents for Material,
CKMPRP2,Maintain Future Prices by Profile,
CKMPRPN,Price Maintenance,
CKMREDWIP,Value Flow Display for Reduced WIP,
CKMSTART,Production Startup of Mat. Ledger,
CKMTOPPRICEDIF,Mat. with Highest MAP Difference,
CKMTOPSTOCKVAL,Materials w/ Highest Inventory Value,
CKMVFM,Value Flow Monitor,
CKNR,Maintain Number Ranges: KALK,
CKR1,Reorganization in Product Costing,
CKUC,Multilevel Unit Costing,
CL01,Create Class,
CL02,Classes,
CL03,Display Class,
CL04,Delete Class,
CL20N,Object Assignments,
CL22N,Assign Class to Superior Classes,
CL24N,Class Assignments,
CL26,Mass Release of Assignments,
CL2B,Class Types,
CL30,Find Objects in Classes,
CL30N,Find Objects in Classes,
CL6BN,Object List (ALV),
CL6C,Class Hierarchy,
CL6H,Classes: Reassign/Split/Merge,
CL6K,Delete Characteristic (Class w. Obj),
CL6M,Delete Class (with Assignments),
CL6P,Where-Used List for Classes,
CL6Q,Where-Used List for Classes,
CLJP,Specify Japanese calender,
CLMM,Mass Change for Assigned Values,
CLOCO,Closing Cockpit - Execution,
CLOCOC,Closing Cockpit - Customizing,
CLOCOS,Closing Cockpit - Aggregated View,
CLOCO_MIG,Closing Cockpit - Migration,
CM01,"Cap. planning, work center load",
CM02,"Capac. planning, work center orders",
CM03,"Capac. planning, work center pool",
CM04,"Capac. planning, work center backlog",
CM05,Capacity plan.:Work center overload,
CM07,Cap. planning: Variable access,
CM21,Capacity leveling SFC planning table,
CM22,Capacity leveling:SFC planning table,
CM23,Capacity leveling: SFC orders tab.,
CM25,Capacity leveling: Variable,
CM27,Capacity level.: SFC indiv.cap.graph,
CM28,Capac.level.: SFC indiv.cap. tab.,
CM29,Capacity leveling: PI planning table,
CM31,Cap. leveling: SFC orders graphical,
CM36,Capacity leveling: PI order graphic.,
CM38,Capacity leveling L-T planning,
CM50,Capacity level.: SFC work cntr list,
CM51,Cap.level.: SFC individual.cap. list,
CM52,Cap.leveling: SFC orders list,
CM56,Capacity leveling: PI resource list,
CM57,Capacity leveling: PI orders list,
CMD1,Create Output: Direct Procurement,
CMD2,Change output: Direct procurement,
CMD3,Display Output: Direct Procurement,
CMOD,Enhancements,
CMPC,Workforce Planning Profile,
CMPC1,Cond.: Field Cat. Campaign Determin.,
CMPC2,CondTab: Create (Campaign Determ.),
CMPC5,Access: Maintain (Campaign Determ.),
CMPC6,Condition Types: Campaign Determ.,
CMPC7,Procedure: Campaign Determination,
CMPC8,Optimize Accesses (Campaign Deter.),
CMPERS_MAINTAIN_SGL,Maintain Personalization Data,
CMPERS_MM,Personalization: Collective Maint,
CMS1,Create set (PPC),
CMS2,Change Set,
CMS3,Display Set,
CMS4,Delete Set,
CMS_CUS_ACG_REL,Assign Rel Object to Rel Procedure,
CMS_CUS_ASSET_NR,Number range maintenance: CMS_ASSET,
CMS_CUS_CAG_NUMRANGE,Number range maintenance: CMS_CAGMT,
CMS_CUS_COM_NR,Number range maintenance: CMS_MOV,
CMS_CUS_PCN_CAGC_REL,Assign Rel Object to Rel Procedure,
CMS_CUS_PCN_CAG_REL,Assign Rel Object to Rel Procedure,
CMS_CUS_PCN_OMSC_REL,Assign Rel Object to Rel Procedure,
CMS_CUS_PCN_OMS_REL,Assign Rel Object to Rel Procedure,
CMS_CUS_RE_OBJECT_NR,Number range maintenance: CMS_RE_OBJ,
